"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B"
6475153,"11/08/2014 02:24:47 PM","SUNB","DRIEDFRUIT","NONE","SAMPLES 316-322, PRUNES, DATES, SULTANAS, APRICOTS & APPLE SLICES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.020125576,9.5071309205
6538125,"29/08/2014 02:56:54 PM","GFCPAG","PASTA","NONE","45355 COLES Ham & Cheese Tortellini 625g-RAW PROCESSING (by DTS) UB: 03/10/2014 DOM 29/08/2014 13.26,13.49,14.02","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.8279356249,1.8197617952
6538125,"29/08/2014 02:56:54 PM","GFCPAG","PASTA","NONE","45355 COLES Ham & Cheese Tortellini 625g-RAW PROCESSING (by DTS) UB: 03/10/2014 DOM 29/08/2014 13.26,13.49,14.02","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.8279356249,1.893112724
6538125,"29/08/2014 02:56:54 PM","GFCPAG","PASTA","NONE","45355 COLES Ham & Cheese Tortellini 625g-RAW PROCESSING (by DTS) UB: 03/10/2014 DOM 29/08/2014 13.26,13.49,14.02","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",2.9817335244,1.8197617952
6538125,"29/08/2014 02:56:54 PM","GFCPAG","PASTA","NONE","45355 COLES Ham & Cheese Tortellini 625g-RAW PROCESSING (by DTS) UB: 03/10/2014 DOM 29/08/2014 13.26,13.49,14.02","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",2.9817335244,1.893112724
6539636,"30/08/2014 09:48:35 AM","NQAC","MISC_PROD","NONE","SAMPLE IDs 803840482-84, TRIALS 1-3","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",4.0844177999,0.062966192
6539636,"30/08/2014 09:48:35 AM","NQAC","MISC_PROD","NONE","SAMPLE IDs 803840482-84, TRIALS 1-3","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",4.0844177999,0.07538824948
6758794,"03/11/2014 04:36:01 PM","AUSIMC","FISH","TUNA","NUTRITION ANALYSIS - JW TUNA TEMPERS CMC 95G-DUO-FT","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.0643809083,1.4920159681
6758794,"03/11/2014 04:36:01 PM","AUSIMC","FISH","TUNA","NUTRITION ANALYSIS - JW TUNA TEMPERS CMC 95G-DUO-FT","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.0643809083,1.5236767415
6768541,"06/11/2014 12:57:47 PM","U4","FAECES","CATFAECES","2014005320 TO 2014005325 CAT FAECES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",42.250416381,42.13806556
6768541,"06/11/2014 12:57:47 PM","U4","FAECES","CATFAECES","2014005320 TO 2014005325 CAT FAECES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",42.250416381,42.223245109
6795798,"14/11/2014 10:21:06 AM","AUPPDS","MEAT_PROD","MISC","BEEF WEASAND RM110024 G&J Hines","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.2335592999,5.0258457444
6795798,"14/11/2014 10:21:06 AM","AUPPDS","MEAT_PROD","MISC","BEEF WEASAND RM110024 G&J Hines","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",5.2335592999,5.0260725902
6854137,"01/12/2014 01:08:35 PM","SOUTHCOT","CEREAL_PRD","SEEDS","COTTON SEED 1 TO 4","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",13.951741621,12.68952532
6863755,"03/12/2014 01:09:10 PM","AUSIMC","FISH","TUNA","NUTRITION ANALYSIS-JW LIGHT TUNA TEMPER KINGFISHER 95G-DUO 3-FT","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.7413086076,1.3847938518
6935053,"23/12/2014 03:36:36 PM","AUMCF","HERB_SPICE","HERBSPICES","HERBS AND SPICES  5 TO 9","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",99.814650657,99.771293041
6935053,"23/12/2014 03:36:36 PM","AUMCF","HERB_SPICE","HERBSPICES","HERBS AND SPICES  5 TO 9","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",99.814650657,99.849033816
7013227,"21/01/2015 12:58:29 PM","I7","SUG_STARCH","STARCH","RM CORN/MAIZE STARCH & TCP","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.5584010475,95.630495185
7013227,"21/01/2015 12:58:29 PM","I7","SUG_STARCH","STARCH","RM CORN/MAIZE STARCH & TCP","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.5584010475,95.695060101
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",95.841496322,0.5196048269
