"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5845654,"09/01/2014 09:42:29 AM","CEREAL_PRD","NONE","TEST 802R : Mission  10"" Super Soft Sundried Tomato Basil Wraps","ASHS040493","Ash @ 550°C","G_P_100G","3.0060912902","14/01/2014 08:21:51 AM",1,5845654,"09JAN14/5845654",TRUE,"TEST 802R : Mission  10"" Super Soft Sundried Tomato Basil Wraps DOM : 9/1/2014 Batch :  09/04/2014 08:16L1, 08:14L1, 08:22L1","A","GRUM","DTS1401571"
5846566,"09/01/2014 12:14:39 PM","MEAT_PROD","NONE","SLAUGHTER DATE: 8-1-2014, BEST BEFORE: 17-1-2014, COSTCO LEMON WINGS","ASHS040493","Ash @ 550°C","G_P_100G","1.9340313568","14/01/2014 08:21:41 AM",1,5846564,"09JAN14/5846566",TRUE,"","A","BAIHANW","DTS1401633"
5846660,"09/01/2014 12:40:04 PM","MISC_PROD","NONE","452353664 BROWN PARTICLES IN WATER","ASHS040493","Ash @ 550°C","G_P_100G","3.5105698899","14/01/2014 08:11:00 AM",1,5846660,"09JAN14/5846660",TRUE,"","A","MICR","DTS1401638"
5846937,"09/01/2014 01:23:40 PM","SAUCES","NONE","BATCH NUMBER  769 HOT SALSA & 770 SALSA VERDE","ASHS040493","Ash @ 550°C","G_P_100G","2.2152118949","10/01/2014 03:51:12 PM",1,5846937,"09JAN14/5846937",TRUE,"769 HOT SALSA","A","AUSMIO","DTS1401652"
5846941,"09/01/2014 01:24:38 PM","SAUCES","NONE","BATCH NUMBER  769 HOT SALSA & 770 SALSA VERDE","ASHS040493","Ash @ 550°C","G_P_100G","1.914115348","10/01/2014 03:51:13 PM",1,5846941,"09JAN14/5846941",TRUE,"770 SALSA VERDE","A","AUSMIO","DTS1401652"
5848067,"09/01/2014 05:07:49 PM","CEREAL_PRD","FLOUR","4. MACRO WHITE SPELT FLOUR B 20107 BB 10.12.14 11:10","ASHS040493","Ash @ 550°C","G_P_100G","0.5532666274","14/01/2014 08:21:53 AM",1,5848067,"09JAN14/5848067",TRUE,"","A","P20","DTS1401751"
5848215,"09/01/2014 06:37:20 PM","PACK_MEALS","FROZENMEAL","06279 LC Beef Stroganoff & Pasta 7.12, 9.00, 11.17, 12.14, 13.26","ASHS040493","Ash @ 550°C","G_P_100G","1.199449976","14/01/2014 08:21:35 AM",1,5848215,"10JAN14/5848215",TRUE,"06279 LC Beef Stroganoff & Pasta 7.12, 9.00, 11.17, 12.14, 13.26   :  Monitoring Testing Batch :  Std","A","GFCPAG","DTS1401778"
5848217,"09/01/2014 06:39:40 PM","PACK_MEALS","FROZENMEAL","09413 LC Honey Soy Beef & Noodles 8.34, 9.46, 11.05, 12.19, 13.17","ASHS040493","Ash @ 550°C","G_P_100G","1.0628542848","14/01/2014 08:21:36 AM",1,5848217,"10JAN14/5848217",TRUE,"09413 LC Honey Soy Beef & Noodles 8.34, 9.46, 11.05, 12.19, 13.17   :  Monitoring Testing Batch :  Std","A","GFCPAG","DTS1401779"
5848218,"09/01/2014 06:41:56 PM","MISC_FOOD","PIZZA","45800 Dr Oekter Pizza Pepperoni","ASHS040493","Ash @ 550°C","G_P_100G","2.208917751","14/01/2014 08:21:41 AM",1,5848218,"10JAN14/5848218",TRUE,"45800 Dr Oekter Pizza Pepperoni   :  Monitoring Testing Batch :  Fac STD","A","GFCPAG","DTS1401780"
5848221,"09/01/2014 06:44:17 PM","MISC_FOOD","PIZZA","53322 PG Supreme Pizza","ASHS040493","Ash @ 550°C","G_P_100G","2.2997883787","14/01/2014 08:21:43 AM",1,5848221,"10JAN14/5848221",TRUE,"53322 PG Supreme Pizza   :  Monitoring Testing Batch :  Fac STD","A","GFCPAG","DTS1401781"
