"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5939995,"10/02/2014 10:21:13 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8320217624,2014-02-11 08:00:00,1,5939995,"QC-IRM001-5939995",TRUE,"In house standard reference material (batch analysis)","E","",""
5940011,"10/02/2014 10:24:08 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7994667682,2014-02-11 08:00:00,1,5940011,"QC-IRM001-5940011",TRUE,"In house standard reference material (batch analysis)","E","",""
5942430,"11/02/2014 07:35:13 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8321622057,2014-02-12 09:00:00,1,5942430,"QC-IRM001-5942430",TRUE,"In house standard reference material (batch analysis)","E","",""
5942435,"11/02/2014 07:36:27 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.9007992478,2014-02-12 09:00:00,1,5942435,"QC-IRM001-5942435",TRUE,"In house standard reference material (batch analysis)","E","",""
5943080,"11/02/2014 09:24:15 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8632333705,2014-02-12 09:00:00,1,5943080,"QC-IRM001-5943080",TRUE,"In house standard reference material (batch analysis)","E","",""
5943098,"11/02/2014 09:26:22 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8471675846,2014-02-12 09:00:00,1,5943098,"QC-IRM001-5943098",TRUE,"In house standard reference material (batch analysis)","E","",""
5947825,"12/02/2014 11:01:29 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8578662531,2014-02-13 08:00:00,1,5947825,"QC-IRM001-5947825",TRUE,"In house standard reference material (batch analysis)","E","",""
5947837,"12/02/2014 11:02:35 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.862271866,2014-02-13 08:00:00,1,5947837,"QC-IRM001-5947837",TRUE,"In house standard reference material (batch analysis)","E","",""
5950380,"13/02/2014 06:41:14 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7768354737,2014-02-14 09:00:00,1,5950380,"QC-IRM001-5950380",TRUE,"In house standard reference material (batch analysis)","E","",""
5950385,"13/02/2014 06:42:14 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8152884478,2014-02-14 09:00:00,1,5950385,"QC-IRM001-5950385",TRUE,"In house standard reference material (batch analysis)","E","",""
5957609,"14/02/2014 02:25:37 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7633120687,2014-02-15 09:00:00,1,5957609,"QC-IRM001-5957609",TRUE,"In house standard reference material (batch analysis)","E","",""
5957613,"14/02/2014 02:26:59 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7544796035,2014-02-15 09:00:00,1,5957613,"QC-IRM001-5957613",TRUE,"In house standard reference material (batch analysis)","E","",""
5961115,"17/02/2014 08:32:41 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7447875429,2014-02-18 09:00:00,1,5961115,"QC-IRM001-5961115",TRUE,"In house standard reference material (batch analysis)","E","",""
5961122,"17/02/2014 08:34:52 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7439985982,2014-02-18 09:00:00,1,5961122,"QC-IRM001-5961122",TRUE,"In house standard reference material (batch analysis)","E","",""
5962360,"17/02/2014 12:48:23 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7919601887,2014-02-18 09:00:00,1,5962360,"QC-IRM001-5962360",TRUE,"In house standard reference material (batch analysis)","E","",""
5962364,"17/02/2014 12:50:17 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7495854063,2014-02-18 09:00:00,1,5962364,"QC-IRM001-5962364",TRUE,"In house standard reference material (batch analysis)","E","",""
5964799,"18/02/2014 09:20:14 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8063487891,2014-02-18 20:00:00,1,5964799,"QC-IRM001-5964799",TRUE,"In house standard reference material (batch analysis)","E","",""
